,fit_time,score_time,test_balanced_accuracy,test_roc_auc,model,cenario/amostra
143,0.5874121189117432,0.31908369064331055,0.7241379310344828,0.9990408265985432,SVM,cenario4/resultado_103
144,0.5293576717376709,0.26352667808532715,0.7105263157894737,0.9997342571521063,SVM,cenario4/resultado_103
145,19.18715190887451,0.05829024314880371,1.0,0.9999999999999999,XGB,cenario4/resultado_103
146,20.327802419662476,0.03759765625,0.9913793103448276,1.0,XGB,cenario4/resultado_103
147,20.354743242263794,0.036314964294433594,1.0,1.0,XGB,cenario4/resultado_103
148,20.35415244102478,0.04465651512145996,0.9913793103448276,0.9999952516168245,XGB,cenario4/resultado_103
149,19.009148836135864,0.08090758323669434,1.0,1.0,XGB,cenario4/resultado_103
150,0.27671170234680176,0.014370203018188477,0.9982535801606707,0.9999435500657995,LogClass,cenario4/resultado_104
151,0.2581620216369629,0.013808012008666992,0.9954005589194225,0.9982465273021178,LogClass,cenario4/resultado_104
152,0.2601134777069092,0.013985633850097656,0.9983115975780159,0.9997397188964081,LogClass,cenario4/resultado_104
153,0.2595951557159424,0.01558828353881836,0.9949347927340475,0.9974451354831639,LogClass,cenario4/resultado_104
154,0.2724282741546631,0.014965057373046875,0.9980204937121565,0.9997953451609717,LogClass,cenario4/resultado_104
155,6.498800039291382,0.3143627643585205,1.0,1.0,RF,cenario4/resultado_104
156,8.096826553344727,0.3329782485961914,1.0,1.0,RF,cenario4/resultado_104
157,8.540080308914185,0.32745862007141113,1.0,1.0,RF,cenario4/resultado_104
158,8.073606014251709,0.3342411518096924,1.0,1.0,RF,cenario4/resultado_104
159,6.197983503341675,0.33231282234191895,1.0,1.0,RF,cenario4/resultado_104
160,15.267099142074585,0.17286896705627441,0.9999417860053557,0.9999894156373375,MLP,cenario4/resultado_104
161,16.767212629318237,0.17769217491149902,0.9558241321680045,0.9998972574591085,MLP,cenario4/resultado_104
162,12.297520399093628,0.17552614212036133,1.0,1.0,MLP,cenario4/resultado_104
163,16.492847442626953,0.18282079696655273,0.9999417792268281,1.0,MLP,cenario4/resultado_104
164,16.004364013671875,0.17981410026550293,1.0,1.0,MLP,cenario4/resultado_104
165,0.5317277908325195,0.3823246955871582,0.6818181818181819,0.9912255633527027,SVM,cenario4/resultado_104
166,0.48001623153686523,0.21895432472229004,0.7205882352941176,0.9998150634263953,SVM,cenario4/resultado_104
167,0.48418593406677246,0.2231464385986328,0.6911764705882353,0.9998390366859365,SVM,cenario4/resultado_104
168,0.46230220794677734,0.21412134170532227,0.6470588235294118,0.9953354886435245,SVM,cenario4/resultado_104
169,0.46844935417175293,0.21578454971313477,0.6666666666666666,0.999890615517071,SVM,cenario4/resultado_104
170,14.792126417160034,0.06997346878051758,1.0,1.0,XGB,cenario4/resultado_104
171,15.14141583442688,0.04503512382507324,1.0,1.0,XGB,cenario4/resultado_104
172,15.050637483596802,0.042304039001464844,1.0,0.9999999999999999,XGB,cenario4/resultado_104
173,14.8591468334198,0.06319308280944824,1.0,1.0,XGB,cenario4/resultado_104
174,14.993814706802368,0.050705909729003906,1.0,1.0,XGB,cenario4/resultado_104
175,0.4113190174102783,0.017618656158447266,0.999956369982548,1.0,LogClass,cenario4/resultado_105
176,0.3935377597808838,0.021520376205444336,1.0,1.0,LogClass,cenario4/resultado_105
177,0.38450002670288086,0.019099950790405273,0.999912739965096,1.0,LogClass,cenario4/resultado_105
178,0.3668677806854248,0.018230199813842773,0.9994763941007069,0.9995723885155773,LogClass,cenario4/resultado_105
179,0.36263442039489746,0.01834416389465332,0.9973383366785933,0.9989876952613665,LogClass,cenario4/resultado_105
180,12.112035036087036,0.4086112976074219,1.0,1.0,RF,cenario4/resultado_105
181,10.06405782699585,0.41426825523376465,1.0,1.0,RF,cenario4/resultado_105
182,9.263076305389404,0.39736390113830566,1.0,1.0,RF,cenario4/resultado_105
183,9.195732355117798,0.39003801345825195,0.9,1.0,RF,cenario4/resultado_105
184,8.610114336013794,0.4010922908782959,1.0,1.0,RF,cenario4/resultado_105
185,17.610745191574097,0.2459855079650879,0.999956369982548,1.0,MLP,cenario4/resultado_105
186,19.406076192855835,0.2471940517425537,1.0,1.0,MLP,cenario4/resultado_105
187,17.007456302642822,0.24609065055847168,0.999956369982548,0.9999903044405662,MLP,cenario4/resultado_105
188,15.172302484512329,0.23669815063476562,0.9999563661750589,0.9999738197050353,MLP,cenario4/resultado_105
